City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Matara,LK,5.9485,80.5353,79.92,84,88,11.77,overcast clouds
309,Quelimane,MZ,-17.8786,36.8883,71.78,66,69,10.85,broken clouds
310,Muttupet,IN,10.4,79.4833,82.89,75,100,9.53,overcast clouds
311,Codrington,AU,-38.2667,141.9667,53.94,86,100,7.58,overcast clouds
312,Igbo Ora,NG,7.4333,3.2833,80.91,70,100,5.1,overcast clouds
313,Peniche,PT,39.3558,-9.3811,81.75,68,7,17.36,clear sky
314,Flin Flon,CA,54.7682,-101.865,60.64,72,90,0.51,overcast clouds
315,Linxia,CN,35.6003,103.2064,64.94,30,68,5.44,broken clouds
316,Bousse,BF,12.6606,-1.8922,103.78,22,2,3.36,clear sky
317,Carballo,ES,43.213,-8.691,80.58,76,3,8.39,clear sky
318,Vardo,NO,70.3705,31.1107,52.0,61,40,14.97,scattered clouds
319,Mocuba,MZ,-16.8392,36.9856,68.59,74,99,8.46,light rain
320,Serra,BR,-20.1286,-40.3078,71.46,96,43,3.58,scattered clouds
321,Kazachinskoye,RU,57.6953,93.2761,51.17,49,100,4.61,overcast clouds
322,Vila Velha,BR,-20.3297,-40.2925,71.94,96,49,4.0,scattered clouds
323,Lerwick,GB,60.1545,-1.1494,51.8,74,9,7.47,clear sky
324,Russell,US,32.3502,-85.1999,80.8,73,40,2.64,scattered clouds
325,Lokosovo,RU,61.1333,74.8167,60.78,56,100,8.43,overcast clouds
326,Petatlan,MX,17.5167,-101.2667,84.0,65,35,1.01,scattered clouds
327,Fukue,JP,32.6881,128.8419,67.3,84,95,9.26,overcast clouds
328,Bure,ET,10.7,37.0667,72.79,43,81,6.82,broken clouds
329,Hobyo,SO,5.3505,48.5268,81.01,74,7,25.93,clear sky
330,Den Helder,NL,52.9599,4.7593,63.95,94,90,15.01,mist
331,Tall Kayf,TR,37.0833,41.0667,91.74,12,0,12.5,clear sky
332,Ternate,ID,0.8,127.4,81.39,78,35,3.87,scattered clouds
333,Port Blair,IN,11.6667,92.75,83.71,76,100,10.83,overcast clouds
334,Denia,ES,38.8408,0.1057,73.54,91,88,7.0,overcast clouds
335,Huarmey,PE,-10.0681,-78.1522,67.86,77,59,7.9,broken clouds
336,Raudeberg,NO,61.9875,5.1352,59.86,87,100,8.39,light rain
337,College,US,64.8569,-147.8028,52.9,74,20,0.0,few clouds
