City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Serov,RU,75.63,broken clouds,59.6033,60.5787,Five Stars Hotel
542,Benguela,AO,82.83,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
546,Placido De Castro,BR,83.16,overcast clouds,-10.3353,-67.1856,Hotel Carioca
548,Zharkent,KZ,79.68,few clouds,44.1628,80.0,гостиница Satti
549,Diu,IN,85.84,clear sky,20.7141,70.9822,Hotel Relax Inn
550,Kudahuvadhoo,MV,83.79,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
554,Mazagao,BR,85.93,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
556,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
562,Platanos,GR,82.56,overcast clouds,37.6667,21.6167,Hotel Kronio
563,Gondanglegi,ID,76.51,scattered clouds,-7.7479,112.0132,Gg. Munasir Homestay
564,Saint Anthony,US,83.97,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
565,Saint-Joseph,RE,75.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
569,Micoud,LC,82.38,broken clouds,13.8167,-60.9,Zamacà
570,Trinidad,BO,80.58,overcast clouds,-14.8333,-64.9,Hotel Piesta
575,Khomeyn,IR,87.33,few clouds,33.6423,50.0789,موبایل مزدک (سجاد)
576,Salamiyah,SY,84.4,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
582,Hendersonville,US,80.38,broken clouds,36.3048,-86.62,Hyatt Place Nashville/Hendersonville
586,Bonthe,SL,83.95,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
589,Kanasin,MX,82.42,broken clouds,20.9333,-89.5667,Motel Xelpac
592,Shahpur,IN,86.68,light rain,16.7,76.8333,Sai Deluxe Shahapur
593,Battle Creek,US,79.09,clear sky,42.3212,-85.1797,Baymont by Wyndham Battle Creek Downtown
595,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
597,Bartica,GY,84.52,scattered clouds,6.4,-58.6167,Relax Inn Hotel
599,Rabaul,PG,79.79,light rain,-4.1967,152.1721,Rabaul Hotel
600,Jabinyanah,TN,77.59,broken clouds,35.035,10.9081,maison belmabrouk
602,Bereda,ES,78.42,few clouds,43.2686,-7.5406,Pazo de Verdes
607,Glace Bay,CA,76.93,scattered clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
608,Kholmogory,RU,77.11,broken clouds,64.2229,41.656000000000006,Гостевая комната
609,Condega,NI,77.25,overcast clouds,13.365,-86.3985,Estancia Doña Rosario
610,Bossangoa,CF,81.32,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
611,Lorengau,PG,80.67,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
612,Phuket,TH,87.01,few clouds,8.0,98.25,The Surin Phuket
613,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
614,Nagapattinam,IN,82.47,overcast clouds,10.7667,79.8333,Sathya Lodge
616,Nabire,ID,77.16,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
617,Nisia Floresta,BR,86.38,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
618,Pontian Kecil,MY,86.38,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
622,Buala,SB,79.57,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
625,Salinopolis,BR,85.53,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
627,Zlitan,LY,79.18,broken clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
628,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
631,Santa Marinella,IT,78.91,overcast clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
633,Kieta,PG,78.6,few clouds,-6.2167,155.6333,Uruna Bay Retreat
634,Batesville,US,75.61,scattered clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
635,Ajdabiya,LY,82.04,clear sky,30.7554,20.2263,Almadina Hotel
636,Port-Gentil,GA,79.48,light rain,-0.7193,8.7815,Fengshui Residence
641,Palmer,US,81.95,few clouds,42.1584,-72.3287,Wedgewood Motel
644,Cacule,BR,81.97,broken clouds,-14.5033,-42.2222,Radar Palace Hotel
645,Axim,GH,85.23,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
646,Banda Aceh,ID,80.51,overcast clouds,5.5577,95.3222,Sulthan Hotel International
648,Mantua,IT,88.09,scattered clouds,45.1667,10.7833,Hotel la Favorita
649,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
650,Uvira,CD,80.38,light rain,-3.4067,29.1458,Hotel Suzana
